head,epoch,loss,elapsed_sec,train_mae,val_mae,val_rmse
allocation_qty_log,1,0.0350469991086848,0.35,0.10500227903766575,0.11450160499673685,0.179689690663137
allocation_qty_log,2,0.01700510570428751,0.65,0.08505353667388678,0.09566989721184549,0.15559496965528638
allocation_qty_log,3,0.009321583817418827,0.99,0.06570542636952134,0.08149927123465832,0.13584007204339285
allocation_qty_log,4,0.006022773298662622,1.3,0.05640532904132608,0.07027571615792122,0.12089466678712239
allocation_qty_log,5,0.005556909621928564,1.63,0.06336957602684264,0.0744055528896473,0.12535091349906072
allocation_qty_log,6,0.0047295169863980635,1.88,0.040231180028161104,0.054267715938984516,0.10172453026715104
allocation_qty_log,7,0.004699342702091758,2.15,0.04447804930823587,0.05888054659427516,0.11058874824617573
allocation_qty_log,8,0.003393790973286997,2.36,0.038494742543417,0.05219975367182538,0.09607749543368775
allocation_qty_log,9,0.002984444034255549,2.61,0.0443377957751714,0.056375411308259085,0.10631632753076316
allocation_qty_log,10,0.0026137537368698892,2.85,0.04753505949616256,0.05947840745857285,0.10625834220462846
allocation_qty_log,11,0.0019652996537234306,3.06,0.030893588113834126,0.045101684055418576,0.09237860011309183
allocation_qty_log,12,0.0027324172603047123,3.32,0.03842047816957292,0.05163683780421292,0.09347094303158639
allocation_qty_log,13,0.002004296889931507,3.57,0.028607050787339737,0.042843500176447585,0.089586135585062
allocation_qty_log,14,0.002211984651135973,3.8,0.032181983452865166,0.04448098230619367,0.08566039273097159
allocation_qty_log,15,0.0018861602128989333,4.09,0.03349023543604022,0.04520457313563298,0.08865140311842283
allocation_qty_log,16,0.0017303673701164655,4.36,0.02885828281802795,0.04123071854110378,0.08669477788048606
allocation_qty_log,17,0.0018480595435320113,4.59,0.02029252397030344,0.033570709507330466,0.07991736089015733
allocation_qty_log,18,0.0013086686522328942,4.79,0.021672027512859057,0.034250688224320175,0.07487763902519294
allocation_qty_log,19,0.001351249419964713,5.0,0.028103636565639526,0.039890814450893416,0.08151175577204542
allocation_qty_log,20,0.0017204379414256221,5.24,0.023608966919294653,0.03688886426976717,0.08294349045979688
allocation_qty_log,21,0.0013523928604951448,5.53,0.028226672897996248,0.040145918175069364,0.08054054637588703
allocation_qty_log,22,0.0012948703270823075,5.81,0.02085658754817079,0.033597933662515976,0.07962675452289325
allocation_qty_log,23,0.0014700988918120274,6.06,0.02071519631626845,0.03344805850363725,0.07887272831135658
allocation_qty_log,24,0.0013240790154219683,6.34,0.03283425575948084,0.04278277189447251,0.08438450228315077
allocation_qty_log,25,0.0010146954744270338,6.61,0.015392216974087339,0.02856841725287466,0.07820864711743816
allocation_qty_log,26,0.0009747526400952644,6.86,0.016439230942938546,0.028396145949291338,0.07234401262979527
allocation_qty_log,27,0.0015295264367483096,7.1,0.017765364665246815,0.02996258313426986,0.07303338875132968
allocation_qty_log,28,0.0009673338547997882,7.34,0.01473939410212061,0.027798191436656943,0.07178570984469343
allocation_qty_log,29,0.0008193165803661266,7.57,0.018544934673367208,0.030042200375453597,0.07703398933759126
allocation_qty_log,30,0.0007852234024830561,7.82,0.017935301966326343,0.029081327674449823,0.07459750922101373
allocation_qty_log,31,0.001212679031978202,8.08,0.023054111909447898,0.0338788007098906,0.0770265220121961
allocation_qty_log,32,0.0012501146224752344,8.3,0.02099179730067784,0.031689478118982525,0.07444468527938791
allocation_qty_log,33,0.0008088968431315345,8.61,0.017567033898744634,0.02783346492622353,0.07055040597269477
allocation_qty_log,34,0.0009715254197498157,8.86,0.01845075458513608,0.028467493123253428,0.06857041166855608
allocation_qty_log,35,0.0008659688133189653,9.19,0.019682696568726083,0.02887765900793409,0.06678404761491698
allocation_qty_log,36,0.0006745276170391453,9.47,0.017713488054007572,0.027144093757997968,0.06747633607054522
allocation_qty_log,37,0.0007866887743181589,9.77,0.014524956738465903,0.02432943044372343,0.0665050444650151
allocation_qty_log,38,0.0009319899991459183,9.99,0.012769135776139457,0.024180232603650098,0.0676528982765317
allocation_qty_log,39,0.0006319839016076924,10.27,0.013998327787949145,0.02423171363158862,0.06501249975200356
allocation_qty_log,40,0.0007706287218086789,10.5,0.017284370263428425,0.026811251961037477,0.06730981629825783
allocation_qty_log,41,0.0007132033042095952,10.74,0.014919633620540971,0.02481280388324723,0.06351774972221484
allocation_qty_log,42,0.0007336643154916182,10.97,0.014280461568802187,0.023499119896643186,0.060554027471801566
allocation_qty_log,43,0.0008548458173493398,11.22,0.013330259896813119,0.02212466922931899,0.05777112459407945
allocation_qty_log,44,0.0007337527925123753,11.47,0.01366680823372957,0.02232543992124896,0.06293775177704766
allocation_qty_log,45,0.0005863923812656988,11.7,0.018936660506838992,0.026717073737009992,0.0596019966276297
allocation_qty_log,46,0.000977339081620655,11.95,0.011731090920540508,0.02157798297801456,0.06405941861195813
allocation_qty_log,47,0.0009862263916294665,12.2,0.015664490849595085,0.02342783775253841,0.06514654083652441
allocation_qty_log,48,0.0008484321568989408,12.48,0.013325481807963818,0.020819210713853977,0.05483925197954115
allocation_qty_log,49,0.0005676823986865642,12.72,0.013104301236132779,0.022289356299859085,0.06675335515953229
allocation_qty_log,50,0.0005788203884089917,12.98,0.013980761232712682,0.02229421847596151,0.06006416367830413
allocation_qty_log,51,0.0007779049395399309,13.21,0.009956786443127842,0.019138321551282967,0.06158667850892334
allocation_qty_log,52,0.0006217372083398372,13.45,0.01499478906155752,0.023630313666724224,0.063698802738872
allocation_qty_log,53,0.0005530863517127802,13.66,0.010418634331396394,0.019887532767927422,0.06331152237379443
allocation_qty_log,54,0.0005944678912839931,13.94,0.013588613822730538,0.02161085790771646,0.06187214578726784
allocation_qty_log,55,0.0006267458017402949,14.19,0.015884031590347066,0.023547290418334428,0.060347650224867586
allocation_qty_log,56,0.0007019067755823369,14.43,0.01160113065729296,0.019380116601990304,0.060136052439426074
allocation_qty_log,57,0.0007636596963058652,14.68,0.016570431288677422,0.02432469724443465,0.0629563671393573
allocation_qty_log,58,0.0008050016261856747,14.9,0.020386433788366166,0.02751082631546574,0.0647801740491575
allocation_qty_log,59,0.000549854027358011,15.15,0.012387309467561837,0.021173808097866443,0.06094148047401529
allocation_qty_log,60,0.0005490721154346337,15.39,0.010506018187502462,0.018982512743754627,0.05524561702769105
allocation_qty_log,61,0.0007016622706057534,15.68,0.017174891207452136,0.02322459377682951,0.0586631012727232
allocation_qty_log,62,0.0005127333884622293,15.92,0.010239286782791627,0.01818869766411016,0.057597432882278955
allocation_qty_log,63,0.00047247537102852646,16.15,0.011357156936285433,0.019514657161442604,0.06378131882560298
allocation_qty_log,64,0.00043706743083215464,16.4,0.00994195732021015,0.017480278286899277,0.05475254623215699
allocation_qty_log,65,0.0005626552921203084,16.69,0.01098023109938239,0.018190141274221645,0.05465480008048148
allocation_qty_log,66,0.0003841480580430397,17.0,0.008775740613377723,0.01689947078154793,0.05671950915078605
allocation_qty_log,67,0.000462178374828997,17.32,0.010314964753316586,0.01820254616373092,0.05648296384252257
allocation_qty_log,68,0.00032628171290366784,17.63,0.010908003968325242,0.01904913819244859,0.061392798908087694
allocation_qty_log,69,0.00048188745180356566,17.97,0.01062775177600941,0.017393954410314806,0.052357088625954895
allocation_qty_log,70,0.0003803429364598905,18.32,0.009695459904262845,0.017003907961443607,0.05514584771451143
allocation_qty_log,71,0.0005110877073725464,18.64,0.0095905840549129,0.016767089334792554,0.05758498447854307
allocation_qty_log,72,0.0004359207357355771,19.02,0.010324618818384604,0.017900180569962548,0.053210156245617445
allocation_qty_log,73,0.00041317779602933157,19.4,0.010660652332269146,0.017909434236686804,0.051577886935273806
allocation_qty_log,74,0.00040922107226004645,19.77,0.009777605244886082,0.01751949638290763,0.05377085046749478
allocation_qty_log,75,0.0004513559256483542,20.17,0.012073247407644703,0.018873349258913954,0.054565015275025795
allocation_qty_log,76,0.00040471942043648055,20.57,0.008823889743093744,0.01577819090040758,0.05451732909891006
allocation_qty_log,77,0.0003703592976759489,21.01,0.013352576654040214,0.019022122521554042,0.054373520719677396
allocation_qty_log,78,0.000513691974229425,21.38,0.008987748691077586,0.016941171948824694,0.059146663126982656
allocation_qty_log,79,0.00047182094047791844,21.77,0.009354506300539052,0.016477699283928008,0.05534260780908776
allocation_qty_log,80,0.00038709004930534386,22.17,0.009857167264682913,0.01736384905053701,0.05737660284819026
allocation_qty_log,81,0.00041922205806062273,22.58,0.011211986640419102,0.01818978475065452,0.055920648481630704
allocation_qty_log,82,0.0003884997015434572,22.98,0.008689816928883043,0.015992714724775554,0.05492683666632466
allocation_qty_log,83,0.0004850861680367518,23.39,0.013033105376012497,0.019397951573433873,0.05136709997189653
allocation_qty_log,84,0.00036273221848435533,23.79,0.008136255504034736,0.01507178820322364,0.05263571235878164
allocation_qty_log,85,0.0003896402367774639,24.2,0.013774386963904482,0.019785399678086717,0.05134805673014284
allocation_qty_log,86,0.00044271778759486847,24.58,0.009553590788519983,0.016195201675938367,0.05880481599603489
allocation_qty_log,87,0.0004992344078821314,24.98,0.010943963124922936,0.01752260801338579,0.060365059720626224
allocation_qty_log,88,0.0002980960810514548,25.4,0.007435601876488162,0.014978675743067025,0.05644926243087315
allocation_qty_log,89,0.00040843258608319437,25.75,0.010148262161276957,0.01667530721623638,0.05363666513103519
allocation_qty_log,90,0.0003534990205301525,26.12,0.007163021174659176,0.014396531853816659,0.053293164016990996
allocation_qty_log,91,0.00035060460415472865,26.5,0.009489243104060663,0.01602127118129713,0.052579238024248236
allocation_qty_log,92,0.0003624580067490389,26.91,0.006054557320414275,0.01278063626735003,0.05195273789235849
allocation_qty_log,93,0.00039112856273319617,27.26,0.013602693345569078,0.01993165871529669,0.057445462926803845
allocation_qty_log,94,0.0003407083332434644,27.62,0.009582198803435114,0.01613863639931492,0.058291517312089924
allocation_qty_log,95,0.00048151264281635377,28.01,0.0119677454854226,0.018357971116758125,0.054562119223219144
allocation_qty_log,96,0.0003910950451005561,28.39,0.006051740978340818,0.01372902364765708,0.05607251131481934
allocation_qty_log,97,0.0002974406097546455,28.76,0.008066916334587674,0.015298288597554166,0.05951622229470269
allocation_qty_log,98,0.0003592070312751958,29.16,0.007292478342267679,0.013078926313116515,0.04773443072368562
allocation_qty_log,99,0.0005502617097405515,29.64,0.010896175966247921,0.016811202274419346,0.04938733892327188
allocation_qty_log,100,0.0002962407421237077,30.08,0.009851779909772495,0.01598587074105736,0.052115073399099855
allocation_qty_log,101,0.0003586638153718243,30.56,0.006968042250833301,0.013868694760288717,0.05158524347229383
allocation_qty_log,102,0.00034013484463317023,31.0,0.008320066472598104,0.015129278285332629,0.055159373679361454
allocation_qty_log,103,0.0002988786907651875,31.42,0.01079069422127114,0.01744883967383566,0.055320528503097516
allocation_qty_log,104,0.0002975290342970008,31.82,0.007036972693579496,0.013300097342873778,0.05295905680571571
allocation_qty_log,105,0.00030558861794130856,32.23,0.008924236831740985,0.015632215924919424,0.055316107377595125
allocation_qty_log,106,0.0002945328322447014,32.69,0.008505630866649301,0.015234045743753014,0.05239887035778691
allocation_qty_log,107,0.0003502073198486096,33.15,0.010755629490494488,0.016549347624352152,0.051929009726018424
allocation_qty_log,108,0.0003176122100941856,33.63,0.007124581137601361,0.013854815448456858,0.05253105479266508
allocation_qty_log,109,0.0003582102557797419,34.1,0.008522068011238412,0.015286446734082547,0.05481209455043962
allocation_qty_log,110,0.0002892729918272165,34.59,0.005902353814979204,0.011838707671927165,0.04974711689171443
allocation_qty_log,111,0.0003206770051418355,35.06,0.008470320986339937,0.014740673955321078,0.05055788523008291
allocation_qty_log,112,0.0003204083850847802,35.55,0.007118383354066073,0.013312930482349971,0.04922890660665598
allocation_qty_log,113,0.0003406225043765626,36.05,0.007751648236042365,0.013356217927738296,0.04799229815721349
allocation_qty_log,114,0.00027323217651349944,36.49,0.006503573662492822,0.012567952468132878,0.04794771923337177
allocation_qty_log,115,0.0003402423634499754,36.99,0.006963875223751232,0.012933455116285358,0.0464684194285289
allocation_qty_log,116,0.00027481666952091174,37.5,0.006663529850813517,0.012049079652615908,0.04182733230558611
allocation_qty_log,117,0.0003257825671335434,38.04,0.0053605581373690776,0.012417225212194466,0.05645572392541555
allocation_qty_log,118,0.00027144322223222455,38.62,0.00526284404212509,0.01172615576787997,0.05380518284121805
allocation_qty_log,119,0.0003584033483343516,39.2,0.010758208216560221,0.01674298027670495,0.05195583411090044
allocation_qty_log,120,0.0003584255447917717,39.8,0.007923903521657219,0.013760569538456634,0.04662532761932636
allocation_qty_log,121,0.0003300602426894869,40.43,0.006853276692694979,0.012422739560665596,0.0472122390188037
allocation_qty_log,122,0.00027415096137372425,41.0,0.010184799735413499,0.01622677499655755,0.051499589816311336
allocation_qty_log,123,0.0003090753812746444,41.61,0.011346622565076495,0.016491333883595395,0.04944172876507404
allocation_qty_log,124,0.00029570654265170435,42.22,0.005879654813629833,0.011641955068553709,0.04472464141510567
allocation_qty_log,125,0.0003995741331436894,42.82,0.014916552108713064,0.019990399465621478,0.05429651620478559
allocation_qty_log,126,0.00028457007094137896,43.44,0.011194265755905396,0.01690211139400117,0.055000432939617164
allocation_qty_log,127,0.00024154599921273064,44.04,0.00704415364742882,0.012163810508115575,0.0511500376948844
allocation_qty_log,128,0.0003062983562391637,44.64,0.007241412155372933,0.013271632416345025,0.05426483152160283
allocation_qty_log,129,0.00032271621016360675,45.26,0.009812450407005579,0.015537703537661087,0.04919270530621099
allocation_qty_log,130,0.00037116264572976027,45.86,0.012446082710975128,0.01712478694673613,0.053156921223559396
allocation_qty_log,131,0.00032876312547939644,46.45,0.009545372175446938,0.015726390831338637,0.058184310011854826
allocation_qty_log,132,0.00028104292789969833,47.02,0.009893745602914849,0.016154838006759376,0.05813087110826991
allocation_qty_log,133,0.0003647946252443029,47.62,0.007435421846932888,0.013371840557297395,0.05318187392599515
allocation_qty_log,134,0.0002833750498673073,48.22,0.00605648572954593,0.011509731275441866,0.04986355716897778
allocation_qty_log,135,0.0002431144143772381,48.83,0.008895119118775953,0.013822695398812077,0.04735832987308557
allocation_qty_log,136,0.00024899308257246767,49.42,0.00524549536952347,0.011456103088053943,0.049177949303149046
allocation_qty_log,137,0.00036685157832332875,50.06,0.005053873086367666,0.011474598558305767,0.056695305614733155
allocation_qty_log,138,0.00030932169282664365,50.73,0.007644848787764349,0.013206752348116052,0.04830254736403657
allocation_qty_log,139,0.00031264597900686425,51.38,0.006565131989592576,0.012425145101231596,0.05112064969733807
allocation_qty_log,140,0.00026306859104229885,52.02,0.006771053858529197,0.012713531389810897,0.0526712019752969
allocation_qty_log,141,0.00025829007966066505,52.7,0.005966471254442898,0.012240648889106816,0.0530282918024909
allocation_qty_log,142,0.00030584771114346436,53.36,0.006007218196007632,0.012324829537623419,0.05362972354660578
allocation_qty_log,143,0.00025384691701946585,54.08,0.008888168939608034,0.014791362759532621,0.054405567195274666
allocation_qty_log,144,0.00023039043680290675,54.81,0.00807055006711965,0.0136811466589499,0.05222994599004491
allocation_qty_log,145,0.00027046964129681845,55.57,0.006721649970513797,0.012421831551200071,0.051498135671810746
allocation_qty_log,146,0.00022789597784377168,56.38,0.005318934487402764,0.011601363250826882,0.05537883081028017
allocation_qty_log,147,0.0002695113045612896,57.14,0.008681474040769457,0.015145491827202394,0.053995302914613984
allocation_qty_log,148,0.00023614099353041907,57.85,0.006580386898379497,0.011786462770616138,0.04679105098748293
allocation_qty_log,149,0.00033855827411076125,58.59,0.004891124165997054,0.0112002406007413,0.05453375461547921
allocation_qty_log,150,0.0002236620238451361,59.32,0.0054456031981361805,0.011394991719565237,0.0488147089225801
allocation_qty_log,151,0.0003051599078900098,60.11,0.00425163093122397,0.01081761083932649,0.053543558783683935
allocation_qty_log,152,0.0002313478565223277,60.94,0.00454082394235884,0.010295647998278552,0.04590464469283199
allocation_qty_log,153,0.0003272846680996057,61.73,0.01088782671704331,0.01695823115237127,0.055110161248743475
allocation_qty_log,154,0.00025418875499237783,62.56,0.005486736867811677,0.010952509071570046,0.04911837063657617
allocation_qty_log,155,0.00025404480826625924,63.43,0.005313915741853814,0.011221535891693701,0.051828291108302414
allocation_qty_log,156,0.00025173499758443887,64.32,0.005261933175807667,0.0103822292560074,0.045320048006030726
allocation_qty_log,157,0.0002589493612678327,65.2,0.005782369317281863,0.01194269939489284,0.05171756272729321
allocation_qty_log,158,0.0003047340269709192,66.06,0.008538766680896164,0.013628859124170632,0.04896043805909807
